,0
0,alabama
1,arizona
2,arkansas
3,california
4,colorado
5,connecticut
6,delaware
7,florida
8,georgia
9,hawaii
10,idaho
11,illinois
12,indiana
13,iowa
14,kansas
15,kentucky
16,louisiana
17,maine
18,maryland
19,massachusetts
20,michigan
21,minnesota
22,mississippi
23,missouri
24,montana
25,nebraska
26,nevada
27,new hampshire
28,new jersey
29,new mexico
30,new york
31,north carolina
32,north dakota
33,oklahoma
34,oregon
35,pennsylvania
36,rhode island
37,south carolina
38,south dakota
39,tennessee
40,texas
41,utah
42,vermont
43,virginia
44,washington
45,west virginia
46,wisconsin
47,wyoming
